IES;DOCENTES PERMANENTES;REFERÊNCIAS 
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Santiago K.M. ., Maschietto M. ., Vairo, FP ., ASHTON-PROLLA, P. ., Medeiros PFV ., ROGATTO, S. R. ., ACHATZ, M. I. W. . Abstract 1837: Clinical diversity and tumor spectrum in Xeroderma Pigmentosum Brazilian patients. Cancer Research, v. 71, p. 1837-1837, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Abreu FB ., SANTOS, E. M. ., ROSSI, B. M. ., ACHATZ, M. I. W. ., Krepischi A.C.V. ., Kowalski, LP ., BRENTANI, R. R. ., ROGATTO, S. R. . Abstract LB-329: Copy number variations associated with hereditary breast and colorectal carcinomas. Cancer Research, v. 71, p. LB-329-LB-329, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Cannavan M.C. ., Lisboa BCG ., Brentani MM ., PALMERO, E. I. ., MARTEL-PLANCHE, G. ., HAINAUT, P. ., CARRARO, D. M. ., ACHATZ, M. I. W. . Abstract 5598: Germline TP53 mutation in very early onset breast cancer patients without BRCA1 and BRCA2 mutation in Brazilian population. Cancer Research, v. 71, p. 5598-5598, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Silva A.G.S. ., ACHATZ, M. I. W. ., BRENTANI, R. R. ., Krepischi A.C.V. ., Rosenberg C. . Abstract B10: Germline copy number variation in Li-Fraumeni syndrome patients with TP53 mutations. Cancer Research, v. 71, p. B10-B10, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;PALMEIRO, E. I. ., ACHATZ, M. I. W. ., ASHTON-PROLLA, P. ., OLIVIER, M. ., HAINAUT, P. . Tumor protein 53 mutations and inherited cancer: beyond Li-Fraumeni syndrome. Current Opinion in Oncology, v. 22, p. 64-69, 2010.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Peixoto, Ana Santos, Catarina Pinheiro, Manuela Pinto, Pedro Soares, Maria José Rocha, Patrícia Gusmão, Leonor Amorim, António Hout, Annemarie Gerdes, Anne-Marie Thomassen, Mads Kruse, Torben A. Cruger, Dorthe Sunde, Lone Bignon, Yves-Jean Uhrhammer, Nancy Cornil, Lucie Rouleau, Etienne Lidereau, Rosette Yannoukakos, Drakoulis Pertesi, Maroulio Narod, Steven Royer, Robert Costa, Maurício M. Lazaro, Conxi , et al. ., International distribution and age estimation of the Portuguese BRCA2 c.156_157insAlu founder mutation. Breast Cancer Research and Treatment, p. 1, 2010.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Garritano, Sonia ., Gemignani, Federica ., Palmero, Edenir Inez ., Olivier, Magali ., Martel-Planche, Ghyslaine ., Le Calvez-Kelm, Florence ., Brugiéres, Laurence ., Vargas, Fernando Regla ., Brentani, Ricardo Renzo ., Ashton-Prolla, Patricia ., Landi, Stefano ., Tavtigian, Sean V. ., Hainaut, Pierre ., Achatz, Maria Isabel W. ., Waddington Achatz, Maria Isabel . Detailed haplotype analysis at the locus in p.R337H mutation carriers in the population of Southern Brazil: evidence for a founder effect. Human Mutation, v. 31, p. 143-150, 2010.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Shlien, Adam ., Baskin, Berivan ., Achatz, Maria Isabel W. ., Stavropoulos, Dimitrios J. ., Nichols, Kim E. ., Hudgins, Louanne ., Morel, Chantal F. ., Adam, Margaret P. ., Zhukova, Nataliya ., Rotin, Lianne . A Common Molecular Mechanism Underlies Two Phenotypically Distinct 17p13.1 Microdeletion Syndromes. American Journal of Human Genetics, v. 87, p. 631-642, 2010.
FAP;AGUIAR JUNIOR, Samuel ;Cunha, Isabela Werneck ., BROT, LOUISE ., CARVALHO, KÁTIA CÂNDIDO ., ROCHA, RAFAEL MALAGOLI ., FREGNANI, JOSÉ HUMBERTO ., FALZONI, ROBERTO ., OLIVEIRA FERREIRA, FÁBIO ., JÚNIOR, SAMUEL AGUIAR ., Lopes, Ademar ., MUTO, NAIR HIDEKO ., REIS, LUIZ F. L. ., Soares, Fernando Augusto ., VASSALLO, JOSÉ . Prognostication of Soft Tissue Sarcomas Based on Chromosome 17q Gene and Protein Status: Evaluation of TOP2A, HER-2/neu, and Survivin. Annals of Surgical Oncology, v. 19, p. 1790-1799, 2012.
FAP;AGUIAR JUNIOR, Samuel ;BAIOCCHI, G. ., GUIMARAES, G.C. ., ROSA OLIVEIRA, R.A. ., KUMAGAI, L.Y. ., FALOPPA, C.C. ., AGUIAR, S. ., BEGNAMI, M.D. ., SOARES, F.A. ., LOPES, A. . Prognostic factors in pelvic exenteration for gynecological malignancies. European Journal of Surgical Oncology, v. 38, p. 948-954, 2012.
FAP;AGUIAR JUNIOR, Samuel ;VATENTIN, MEV D ., SILVA, F. C. ., SANTOS, E. M. M. ., SILVA, S. D. ., FERREIRA, F. O. ., AGUIAR JUNIOR, S. ., Gomy, Israel ., VACCARO, C. ., REDAL, M. A. ., Valle, Adriana Della ., Sarroca, Carlos ., RASMUSSEN, L. J. ., Carraro, Dirce Maria ., ROSSI, B. M. . Evaluation of MLH1 I219V Polymorphism in Unrelated South American Individuals Suspected of Having Lynch Syndrome.. Anticancer Research, v. 32, p. 4347-4351, 2012.
FAP;AGUIAR JUNIOR, Samuel ;CHOJNIAK, R. ., GRIGIO, H. R. ., BITENCOURT, A. G. V. ., PINTO, P. N. V. ., TYNG, C. J. ., CUNHA, I. W. ., AGUIAR JUNIOR, S. ., LOPES, A. . Biópsia percutânea por agulha grossa de tumores de partes moles guiada por tomografia computadorizada: resultados e correlação com análise da peça cirúrgica. RB. Radiologia Brasileira (Online), v. 45, p. 259-262, 2012.
FAP;AGUIAR JUNIOR, Samuel ;SANTOS, E. M. M. ., VALENTIN, M. D. ., SILVA, F. C. ., OLIVEIRA, L. P. ., FERREIRA, F. O. ., AGUIAR JUNIOR, S. ., NAKAGAWA, W. T. ., GOMY, I. ., FERRAZ, V. E. F. ., SILVA JUNIOR, W. A. ., CARRARO, D.M. ., ROSSI, B. M. . Predictive models for mutations in mismatch repair genes: implication for genetic counseling in developing countries. BMC Cancer (Online), v. 12, p. 64, 2012.
FAP;AGUIAR JUNIOR, Samuel ;C. da Silva, Felipe ., D. Valentin, Mev ., M.M. Santos, Erika ., O. Ferreira, Fabio ., AGUIAR JUNIOR, S. ., I. Palmero, Edenir ., M. Rossi, Benedito . Diagnosis and Management of Lynch Syndrome. Recent Patents on Regenerative Medicine, v. 1, p. 60-71, 2011.
FAP;AGUIAR JUNIOR, Samuel ;Macedo, Mariana Petaccia ., Andrade, Louise De Brot ., Coudry, Renata ., Crespo, Rodrigo ., Gomes, Marina ., Lisboa, Bianca Cristina Garcia ., Aguiar, Samuel ., Soares, Fernando Augusto ., Carraro, Dirce Maria ., Cunha, Isabela Werneck . Multiple mutations in the Kras gene in colorectal cancer: review of the literature with two case reports. International Journal of Colorectal Disease (Print), v. 1, p. 1-2, 2011.
FAP;AGUIAR JUNIOR, Samuel ;VATENTIN, MEV D ., Silva, Felipe Carneiro da ., Santos, Erika Maria Monteiro dos ., Lisboa, Bianca Garcia ., OLIVEIRA, LIGIA P ., Ferreira, Fabio de Oliveira ., Gomy, Israel ., NAKAGAWA, WILSON T ., Aguiar Junior, Samuel ., Redal, Mariana ., Vaccaro, Carlos ., Valle, Adriana Della ., Sarroca, Carlos ., Carraro, Dirce Maria ., Rossi, Benedito Mauro . Characterization of germline mutations of MLH1 and MSH2 in unrelated south American suspected Lynch syndrome individuals. Familial Cancer, v. 1, p. 1-2, 2011.
FAP;AGUIAR JUNIOR, Samuel ;Guimarães, Gustavo Cardoso ., Baiocchi, Glauco ., FERREIRA, F O ., Kumagai, Lillian Yuri ., Fallopa, Carlos Chaves ., Aguiar, Samuel ., Rossi, Benedito Mauro ., Soares, Fernando Augusto ., Lopes, Ademar . Palliative pelvic exenteration for patients with gynecological malignancies. Archives of Gynecology and Obstetrics (Print), v. 283, p. 1107-1112, 2011.
FAP;AGUIAR JUNIOR, Samuel ;AGUIAR JUNIOR, S. ., CUNHA, I. W. ., LOPES, F. C. . Genomic expression, chemotherapy response, and molecular targets in soft tissue sarcomas of the extremities: Promising strategies for treatment selection. Journal of Surgical Oncology (Print), v. 101, p. 92-96, 2010.
FAP;AGUIAR JUNIOR, Samuel ;CUNHA, I. W. ., CARVALHO, K. C. ., MARTINS, W. K. ., MARQUES, S. M. ., MUTO, N. H. ., Falzoni R ., AGUIAR JUNIOR, S. ., SOARES, F. A. ., REIS, L. F. L. . Identification of genes associated with local aggressiveness and metastatic behavior in soft tissue tumors.. Translational Oncology (Online), v. 3, p. 23-32, 2010.
FAP;AGUIAR JUNIOR, Samuel ;AGUIAR JUNIOR, S. . Peritoneal carcinomatosis from colorectal cancer: The need for improving selection criteria for cytoreductive surgery and intraperitoneal chemotherapy. Journal of Surgical Oncology (Print), v. 102, p. 563-564, 2010.
FAP;AGUIAR JUNIOR, Samuel ;SILVA, FELIPE CARNEIRO ., OLIVEIRA, LIGIA P ., SANTOS, ERIKA M M ., NAKAGAWA, WILSON T ., Aguiar Junior, Samuel ., VATENTIN, MEV D ., Rossi, Benedito Mauro ., OLIVEIRA FERREIRA, FÁBIO . Frequency of extracolonic tumors in Brazilian families with Lynch syndrome: analysis of a hereditary colorectal cancer institutional registry. Familial Cancer, v. 9, p. 563-570, 2010.
FAP;AGUIAR JUNIOR, Samuel ;FARIAS, J. C. ., AGUIAR JUNIOR, S. ., FERREIRA, F. O. ., LOPES, A. . Fillet flap for reconstruction after hemipelvectomy: report of three cases. Journal of Plastic, Reconstructive & Aesthetic Surgery, v. 62, p. e110-e111, 2009.
FAP;AGUIAR JUNIOR, Samuel ;BAIOCCHI, G. ., AGUIAR JUNIOR, S. ., LOPES, A. ., COUDRY, R. ., ROSSI, B. M. ., SOARES, F. A. ., GUIMARÃES, G. C. ., FERREIRA, F. O. ., NAKAGAWA, W. T. . ErbB family immunohistochemical expression in colorectal cancer patients with higher risk of recurrence after radical surgery. International Journal of Colorectal Disease (Print), v. 24, p. 1059-1068, 2009.
FAP;AGUIAR JUNIOR, Samuel ;AGUIAR JUNIOR, S. ., FERREIRA, F. O. ., ROSSI, B. M. ., SANTOS, E. M. M. ., SALVAJOLI, J. V. ., LOPES, A. . Neoadjuvant chemoradiation therapy for soft tissue sarcomas of the extremities. Clinics (USP. Impresso), v. 64, p. 1059-1064, 2009.
FAP;ALVES, Fábio de Abreu ;TAKAHAMA JR, A. ., ALVES, F. A. ., PRADO, F. O. ., LOPES, M. A. ., KOWALSKI, L. P. . Chondrosarcoma of the maxilla: report of two cases with different behaviours. Journal of Cranio-Maxillo-Facial Surgery, v. 40, p. e71-e74, 2012.
FAP;ALVES, Fábio de Abreu ;VECHIO, A. D. ., NAKAGIMA, E. ., AZEVEDO, L. H. ., Alves, F.A. ., MIGLIARI, D. A. . Rapid progression of an idiopathic leukoplakia to a proliferative verrucous leukoplakia lesion and then squamous cell carcinoma.. Quintessence International, v. 43, p. 583-585, 2012.
FAP;ALVES, Fábio de Abreu ;KELNER, N. ., VIVAS, A. P. ., MORELATTO, R. ., Alves, F.A. . Lichen planus affecting a 12-year-old girl. Open Journal of Stomatology, v. 2, p. 358-361, 2012.
FAP;ALVES, Fábio de Abreu ;PINTO, V. M. C. ., KATO, G. F. ., LOPES, R. N. ., Alves, F.A. . Jaw osteonecrosis in patients receiving bisphosphonate therapy: results from a single institution. Applied Cancer Research (Online), v. 32, p. 70-75, 2012.
FAP;ALVES, Fábio de Abreu ;MOLINA, A. P. S. ., CIRANO, F. R. ., MAGRIN, J. ., ALVES, F. A. ., ALVES, F. A. . Gingival squamous cell carcinoma mimicking periodontal disease. The International Journal of Periodontics & Restorative Dentistry, v. 31, p. 97-100, 2011.
FAP;ALVES, Fábio de Abreu ;BRAGA, F. P. F. ., LEMOS JUNIOR, C. A. ., ALVES, F. A. ., ALVES, F. A. ., MIGLIARI, D. A. . Acupuncture for the prevention of radiation-induced xerostomia in patients with head and neck cancer.. Brazilian Oral Research (Impresso), v. 25, p. 180-185, 2011.
FAP;ALVES, Fábio de Abreu ;GALLO, C. B. ., ALVES, F. A. ., ALVES, F. A. ., PINTO JÚNIOR, D. S. ., MARQUES, M. M. ., SUGAYA, N. N. . Regional odontodysplasia: management of an acute case with a scanning electron microscope. General Dentistry, v. 59, p. E178-E181, 2011.
FAP;ALVES, Fábio de Abreu ;CARVALHO, P. A. G. ., JAGUAR, G. C. ., PELLIZZON, A. C. ., PRADO, J. D. ., LOPES, R. N. ., ALVES, F. A. ., ALVES, F. A. . Evaluation of low-level laser therapy in the prevention and treatment of radiation-induced mucositis: A double-blind randomized study in head and neck cancer patients. Oral Oncology (1997), v. 47, p. 1176-1181, 2011.
FAP;ALVES, Fábio de Abreu ;FREGNANI, E. R. ., PEREZ, D. E. C. ., ALMEIDA, O. P. ., KOWALSKI, L. P. ., SOARES, F. A. ., ALVES, F. A. ., ALVES, F. A. . Clinicopathological study and treatment outcomes of 121 cases of ameloblastomas. International Journal of Oral and Maxillofacial Surgery, v. 39, p. 145-149, 2010.
FAP;ALVES, Fábio de Abreu ;JAGUAR, G. C. ., LIMA, E. N. P. ., KOWALSKI, L. P. ., PELLIZZON, A. C. ., CARVALHO, A. L. ., ALVES, F. A. ., ALVES, F. A. ., ALVES, F. A. . Impact of submandibular gland excision on salivary gland function in head and neck cancer patients. Oral Oncology, v. 46, p. 349-354, 2010.
FAP;ALVES, Fábio de Abreu ;LIMA, M. D. M. ., ARTICO, G. ., SOARES, F. A. ., MARTINS, M. T. ., ALVES, F. A. ., ALVES, F. A. . Follicular lymphoma in the palate with clinical appearance similar to salivary gland tumors. Quintessence International, v. 41, p. 661-663, 2010.
FAP;ALVES, Fábio de Abreu ;MARTINI, M. Z. ., ROCHA, A. C. ., LEMOS JUNIOR, C. A. ., ALVES, F. A. ., ALVES, F. A. . Fibro-osseous lesions associated with simple bone cysts: three case reports and review of the literature. Minerva Stomatologica (Testo stampato), v. 59, p. 671-676, 2010.
FAP;ALVES, Fábio de Abreu ;FREGNANI, E. R. ., PEREZ, D. E. C. ., SOARES, F. A. ., ALVES, F. A. . Immunohistochemical profile of ameloblastomas using tissue microarray. In: 2nd World Congress of the International Academy of Oral Oncology, 2009, Toronto-Canadá. Oral Oncology Supplement. New York: Elsevier Science, 2009. v. 3. p. 136-136.
FAP;ALVES, Fábio de Abreu ;JAGUAR, G. C. ., LIMA, E. N. P. ., KOWALSKI, L. P. ., ALVES, F. A. . The impact of surgical intervention on salivary gland function and health-related quality of life in head and neck cancer patients. In: 2nd World Congress of the International Academy of Oral Oncology, 2009, Toronto-Canadá. Oral Oncology Supplement. New York: Elsevier Science, 2009. v. 3. p. 149-149.
FAP;ALVES, Fábio de Abreu ;LOPES, M. A. ., SILVA, R. ., GÓES, M. F. ., COLLETA, R. D. ., ALVES, F. A. . Morphological analysis and chemical content of radiation caries. In: 14th International Congress, International Association of Oral Pathologists, 62nd Annual Meeting, Americam Academy of oral & Maxillofacial Pathology, 2008, San Francisco-Califórnia. Americam Academy of oral & Maxillofacial Pathology, 2008.
FAP;ALVES, Fábio de Abreu ;FREGNANI, E. R. ., PEREZ, D. E. C. ., ALMEIDA, O. P. ., KOWALSKI, L. P. ., ALVES, F. A. . Clinicopathological study and treatment outcomes of 121 cases of ameloblastomas. In: 14th International Congress, International Association of Oral Pathologists, 62nd Annual Meeting, Americam Academy of oral & Maxillofacial Pathology, 2008, San Francisco-Califórnia. Americam Academy of Oral & Maxillofacial Pathology, 2008. p. 93.
FAP;ALVES, Fábio de Abreu ;FREGNANI, J. H. T. G. ., SOBRAL, L. M. ., ALVES, F. A. ., SOARES, F. A. ., KOWALSKI, L. P. ., COLLETA, R. D. . Myofibroblast in the stroma of ameloblastomas correlate with rupture of the osseous cortical. In: 14th International Congress, International Association of Oral Pathologists, 62nd Annual Meeting, Americam Academy of oral & Maxillofacial Pathology, 2008, San Francisco-Califórnia. Americam Academy of Oral & Maxillofacial Pathology, 2008. p. 92.
FAP;ALVES, Fábio de Abreu ;ALVES, F. A. ., ROCHA, G. ., JAGUAR, G. C. ., KOGA, D. H. ., PIRES, F. R. ., LIMA, V. C. ., PRADO, J. D. . Jaw osteonecrosis in patients receiving bisphosphonate therapy: results from a single institution. In: 1st World Congress of the International Academy of Oral Oncology, 2007, Amsterdam-Holanda. Oral Oncology. Elsevier Inc: New York, 2007. v. 2. p. 151.
FAP;ALVES, Fábio de Abreu ;OCAÑA, R. ., SASSI, L. ., PIZZATTO, R. ., SIMONETTI, G. ., SILVESTRI, T. ., PEREZ, D. E. C. ., ALVES, F. A. . Evaluation of osseointegration of dental implants o irradiate rabbit tibias. In: 1st World Congress of the International Academy of Oral Oncology, 2007, Amsterdam-Holanda. Oral Oncology. Elsevier Inc: New York, 2007. v. 2. p. 151.
FAP;ALVES, Fábio de Abreu ;KOGA, D. H. ., SALVAJOLI, J. V. ., KOWALSKI, L. P. ., NISHIMOTO, I. N. ., PEREZ, D. E. C. ., ALVES, F. A. . Dental extractions related to head and neck radiotherapy: a retrospective study of 405 patients. In: 1st World Congress of the International Academy of Oral Oncology, 2007, Amsterdam-Holanda. Oral Oncology. Elvevier Inc: New York, 2007. v. 2. p. 159.
FAP;ALVES, Fábio de Abreu ;ALVES, F. A. ., ALVES, F. A. ., PRADO, J. D. ., ROCHA, A. C. . Clinical features and management of jaw osteonecrosis in patients receiving bisphosphonate therapy. In: ASH Annual Meeting Abstracts, 2007, Phiiladelphia-PA. Blood, 2007. v. 110. p. 4775-4775.
FAP;ANDRADE, Victor Piana de ;Andrade VP ., OSTROVNAYA, I. ., SESHAN, V. E. ., Morrogh, Mary ., Giri, Dilip ., Olvera, Narciso ., BEGG, C. ., King, T. A. . Clonal relatedness between lobular carcinoma in situ and synchronous malignant lesions.. Breast Cancer Research (Print), v. 14, p. R103, 2012.
FAP;ANDRADE, Victor Piana de ;Morrogh, Mary ., Paik, Wooyul ., King, Tari A. ., Andrade, Victor P. ., Qin, Li Xuan ., Sakr, Rita A. ., Brogi, Edi ., Arroyo, Crispinita D. ., Giri, Dilip ., Morrow, Monica . Cadherin catenin complex dissociation in lobular neoplasia of the breast. Breast Cancer Research and Treatment, v. 132, p. 641-652, 2012.
FAP;ANDRADE, Victor Piana de ;Rocha, A J ., Silva, C J ., Leopoldino, J F S ., Andrade, V P . Intracerebral amyloidoma: imaging findings might support preoperative diagnosis. Arquivos de Neuro-Psiquiatria (Impresso), v. 69, p. 413-413, 2011.
FAP;ANDRADE, Victor Piana de ;De Mello, Celso A. L. ., De Andrade, Victor P. ., De Lima, Vladmir C. C. ., Carvalho, Andre L. ., Soares, Fernando A. . Prognostic impact of MUM1 expression by immunohistochemistry on primary mediastinal large B-cell lymphoma. Leukemia & Lymphoma (Print), v. 52, p. 1495-1503, 2011.
FAP;ANDRADE, Victor Piana de ;Png, K. J. ., Yoshida, M. ., Zhang, X. H.- F. ., Shu, W. ., Lee, H. ., Rimner, A. ., Chan, T. A. ., Comen, E. ., Andrade, V. P. ., Kim, S. W. ., King, T. A. ., Hudis, C. A. ., Norton, L. ., Hicks, J. ., Massague, J. ., Tavazoie, S. F. . MicroRNA-335 inhibits tumor reinitiation and is silenced through genetic and epigenetic mechanisms in human breast cancer. Genes & Development, v. 25, p. 226-231, 2011.
FAP;ANDRADE, Victor Piana de ;King, Tari A. ., Sakr, Rita A. ., Muhsen, Shirin ., Andrade, Victor P. ., Giri, Dilip ., Van Zee, Kimberly J. ., Morrow, Monica . Is There a Low-Grade Precursor Pathway in Breast Cancer?. Annals of Surgical Oncology, v. 1, p. 1, 2011.
FAP;ANDRADE, Victor Piana de ;Morrogh, Mary ., Andrade, Victor P. ., Patil, Asawari J. ., Qin, Li-Xuan ., Mo, Qianxing ., Sakr, Rita ., Arroyo, Crispinita D. ., Brogi, Edi ., Morrow, Monica ., King, Tari A. . Differentially Expressed Genes in Window Trials are Influenced by the Wound-Healing Process: Lessons Learned from a Pilot Study with Anastrozole. The Journal of Surgical Research (Print), v. 1, p. 1, 2011.
FAP;ANDRADE, Victor Piana de ;Oliveira, Marco Antônio Condé de ., Maeda, Sérgio Setsuo ., Dreyer, Patrícia ., Lobo, Alberto ., ANDRADE, Victor Piana de ., Hoff, Ana O. ., Biscolla, Rosa Paula Mello ., Smanio, Paola ., Brandão, Cynthia M. A. ., Vieira, José G. . Importância da complementação com SPECT e 99mTc na cintilografia das paratiroides e da correlação clínica, laboratorial, ultrassonográfica e citológica na localização pré-operatória do adenoma de paratiroide - ensaio pictórico. Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso), v. 54, p. 1-2, 2010.
FAP;ANDRADE, Victor Piana de ;Sakr, Rita A. ., Barbashina, Violetta ., Morrogh, Mary ., Chandarlapaty, Sarat ., Andrade, Victor P. ., Arroyo, Crispinita D. ., Olvera, Narciso ., King, Tari A. . Protocol for PTEN Expression by Immunohistochemistry in Formalin-fixed Paraffin-embedded Human Breast Carcinoma. Applied Immunohistochemistry & Molecular Morphology (Print), v. 18, p. 371-374, 2010.
FAP;ANDRADE, Victor Piana de ;Mehrara, BJ ., Avraham, Tomer ., Soares, M ., Fernandez, JG ., Yan, A ., Zampell, JC ., Andrade, Victor P. ., Cordeiro, AP ., Sorrento, CM . p21cip/WAF is a key regulator of long-term radiation damage in mesenchyme-derived tissues. The FASEB Journal (Online), v. 24, p. 4877-4888, 2010.
FAP;ANDRADE, Victor Piana de ;Andre Loyola Duarte ., CRESPO, R. B. ., LISBOA, B. C. ., carraro, D. ., CUNHA, I. W. ., Soares, Fernando A. ., Andrade, Victor P. . Diagnostic contribution of the detection of the BRAFV600E mutation on fine-needle aspiration specimens of thyroid nodules with indeterminate cytological findings. Applied Cancer Research (Impresso), v. 2, p. 21, 2010.
FAP;ANDRADE, Victor Piana de ;Tse, Gary M ., Tan, Puay-Hoon ., Lau, Kin-Mang ., Andrade, Victor Piana de ., Lui, Philip C W ., Vong, Joaquim S ., Chaiwun, Benjaporn ., Lam, Christopher C ., Yu, Alex M ., Moriya, Takuya . Breast cancer in the elderly: a histological assessment. Histopathology (Oxford. Print), v. 55, p. 441-451, 2009.
FAP;ANDRADE, Victor Piana de ;Dutra, Mara Costa ., Rezende, Marina Alvarenga ., ANDRADE, Victor Piana de ., Soares, Fernando Augusto., Ribeiro, Márcio Ventura ., Paula, Élbio Cândido de ., GOBBI, Helenice . Imunofenótipo e evolução de câncer de mama: comparação entre mulheres muito jovens e mulheres na pós-menopausa. Revista Brasileira de Ginecologia e Obstetrícia (Impresso), v. 31, p. 54-60, 2009.
FAP;ANDRADE, Victor Piana de ;Gama, Hugo Pereira Pinto ., Rocha, Antônio José da ., Silva, Carlos Jorge da ., Mendes, Maria Fernanda ., Veiga, José Carlos Esteves ., Lancellotti, Carmen Lúcia Penteado ., ANDRADE, Victor Piana de ., Tilbery, Charles Peter . Meningioma growth during interferon beta-1a treatment for multiple sclerosis. Arquivos de Neuro-Psiquiatria, v. 66, p. 402, 2008.
FAP;ANDRADE, Victor Piana de ;BISCOLLA, R. P. M. ., ANDRADE, Victor Piana de ., HOJAI, Fc ., NAKABASHI ., CAMACHO, C. ., FURLANETTO, R. P. ., MACIEL, R. M. B. . DiagnÃ stico de metÃ stases de carcinoma papilÃ fero de tirÃ ide atravÃ s da dosagem de tiroglobulina no lÃ quido obtido da lavagem da agulha utilizada na punÃ Ã o aspirativa. Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso), v. 51, p. 419-425, 2007.
